,PC,normalized_price,Ofsted,FSM,PT_ratio,absentees,top_third,Russell,Oxbridge,GCSE,best_3Alevels,ratio_AAB
0,64.0,0.5416666666666667,4.0,70.0,13.3,15.2,5.0,5.0,0.0,41.0,28.21,7.7
1,66.0,0.5833333333333335,4.0,27.2,17.6,11.7,59.0,53.0,2.0,97.0,35.93,28.2
2,169.0,0.7083333333333336,4.0,37.8,14.8,7.1,23.0,22.0,0.0,71.0,35.79,8.2
3,203.0,0.25000000000000006,3.0,59.3,15.7,5.1,11.0,11.0,0.0,33.0,26.26,6.1
4,448.0,0.31250000000000006,1.0,51.2,16.1,25.4,5.0,5.0,0.0,23.0,28.05,7.3
